accessno,activity,access_date_time,access_time
10161,Enrollment Shopping Cart,6:03 AM,1/5/2013
565,Enrollment Shopping Cart,5:15 AM,5/20/2013
8583,Enrollment Shopping Cart,10:21 AM,2/2/2017
4245,Enrollment Shopping Cart,8:09 PM,1/17/2014
872,Enrollment Shopping Cart,12:26 PM,7/31/2015
1011,Enrollment Shopping Cart,5:03 AM,6/19/2016
12901,Enrollment Shopping Cart,12:35 PM,3/15/2017
14316,Enrollment Shopping Cart,12:55 PM,12/29/2014
9704,My Planner,8:12 AM,12/2/2015
5716,Enrollment Shopping Cart,1:13 AM,8/15/2016
9496,Enrollment Shopping Cart,7:55 AM,12/22/2011
11110,My Planner,8:09 AM,7/12/2015
14507,Enrollment Shopping Cart,2:44 PM,5/29/2013
7770,Enrollment Shopping Cart,4:38 AM,1/16/2013
10709,My Planner,12:21 AM,8/17/2013
4402,Enrollment Shopping Cart,10:53 PM,5/14/2017
7852,My Planner,10:44 PM,5/12/2016
3214,My Planner,3:47 AM,6/19/2014
13599,Enrollment Shopping Cart,9:01 AM,3/5/2016
5688,My Planner,4:40 PM,9/17/2011
10378,Enrollment Shopping Cart,11:44 PM,10/9/2016
6457, View Degree Progress Report,5:51 PM,10/25/2012
6030,My Planner,9:01 AM,1/1/2014
2689,Enrollment Shopping Cart,8:23 PM,12/28/2012
11290,My Academic Requirements,10:27 PM,11/21/2011
89,My Planner,1:35 AM,3/10/2015
9359,My Academic Requirements,1:49 AM,7/10/2015
2840,Enrollment Shopping Cart,11:19 AM,12/23/2014
5368,My Planner,5:58 PM,6/6/2014
7256,Enrollment Shopping Cart,1:22 PM,5/17/2015
2718,My Academic Requirements,9:14 AM,10/18/2016
12772,Enrollment Shopping Cart,1:29 PM,9/16/2012
13191,My Planner,3:05 AM,12/25/2013
12779,My Planner,7:48 AM,7/27/2012
11949,View Graduation Status,7:41 AM,11/1/2012
5,Enrollment Shopping Cart,10:42 AM,12/2/2013
4549,Enrollment Shopping Cart,10:43 AM,1/9/2017
11264,Enrollment Shopping Cart,10:20 PM,3/21/2016
3118,Enrollment Shopping Cart,11:22 PM,2/17/2013
2075,Enrollment Shopping Cart,10:25 AM,7/18/2017
7553,Enrollment Shopping Cart,3:37 PM,4/7/2014
6491,Enrollment Shopping Cart,5:58 PM,2/14/2012
863,View Graduation Status,1:03 PM,4/8/2013
4307,Enrollment Shopping Cart,6:23 AM,3/24/2013
14554,Enrollment Shopping Cart,9:54 PM,8/1/2015
7771,Enrollment Shopping Cart,2:25 AM,12/29/2015
4567,My Planner,2:19 AM,10/6/2014
4500,Enrollment Shopping Cart,7:59 PM,1/27/2017
1470,My Planner,2:15 AM,12/23/2011
11818,My Academic Requirements,4:53 AM,3/28/2017
2662,Enrollment Shopping Cart,10:39 PM,11/23/2014
13693,View Graduation Status,11:42 PM,3/24/2014
5230,My Planner,4:30 AM,12/23/2012
13312,Enrollment Shopping Cart,4:05 PM,1/16/2014
3544,Enrollment Shopping Cart,7:11 PM,12/27/2013
9811,Enrollment Shopping Cart,3:26 PM,11/20/2012
1958,Enrollment Shopping Cart,10:24 AM,5/20/2012
2409,My Planner,11:00 PM,1/30/2015
8814, View Degree Progress Report,9:17 AM,3/22/2013
6287,My Planner,2:17 PM,3/13/2012
13954,Enrollment Shopping Cart,1:39 PM,7/31/2015
9517,My Planner,6:08 AM,8/15/2014
6800,Enrollment Shopping Cart,1:37 PM,5/19/2016
10326,Enrollment Shopping Cart,2:02 AM,3/17/2012
5809,View Graduation Status,8:57 PM,8/27/2015
8905,Enrollment Shopping Cart,7:49 PM,1/8/2012
11690,My Planner,3:05 PM,3/28/2016
10127,Enrollment Shopping Cart,4:07 PM,2/7/2012
11240,Enrollment Shopping Cart,10:33 PM,2/27/2012
6157,Enrollment Shopping Cart,12:57 AM,3/15/2016
12178,Enrollment Shopping Cart,10:22 PM,10/16/2015
14551,Enrollment Shopping Cart,11:34 PM,10/26/2011
6724,Enrollment Shopping Cart,1:30 PM,10/22/2014
6942,View Graduation Status,9:20 AM,6/7/2014
9766,Enrollment Shopping Cart,6:14 PM,8/2/2012
1854,Enrollment Shopping Cart,7:05 AM,9/28/2012
4930,Enrollment Shopping Cart,5:30 PM,6/13/2017
11480,View Graduation Status,8:04 PM,5/22/2017
11921,Enrollment Shopping Cart,3:43 AM,9/11/2016
6879,Enrollment Shopping Cart,7:32 PM,6/4/2015
707,View Graduation Status,9:32 AM,10/14/2011
14095,Enrollment Shopping Cart,2:23 PM,9/15/2012
4231,View Graduation Status,10:46 PM,9/14/2016
4203,Enrollment Shopping Cart,10:46 PM,1/2/2017
6677,Enrollment Shopping Cart,11:22 AM,2/10/2016
1441,Enrollment Shopping Cart,5:23 AM,3/13/2014
5764,View Graduation Status,3:56 AM,1/10/2014
4725,Enrollment Shopping Cart,10:17 AM,2/15/2012
7239,Enrollment Shopping Cart,12:11 AM,9/21/2016
11967,Enrollment Shopping Cart,10:04 AM,7/24/2015
4117,Enrollment Shopping Cart,5:20 PM,2/4/2016
9610,My Planner,3:25 PM,1/7/2015
11548,My Academic Requirements,3:58 PM,12/4/2013
7572,Enrollment Shopping Cart,10:20 PM,8/18/2016
5609,Enrollment Shopping Cart,4:15 PM,6/20/2016
8916,View Graduation Status,11:47 PM,12/17/2015
8711,My Planner,7:54 AM,12/26/2016
7597,Enrollment Shopping Cart,1:21 AM,1/26/2017
3068,View Graduation Status,9:14 AM,5/30/2014
2813,Enrollment Shopping Cart,4:49 AM,11/14/2011
11495,Enrollment Shopping Cart,7:58 AM,6/14/2017
1403,Enrollment Shopping Cart,3:01 AM,3/25/2016
14872,Enrollment Shopping Cart,9:38 PM,7/26/2013
12095,Enrollment Shopping Cart,8:00 AM,7/8/2015
2318,Enrollment Shopping Cart,7:54 PM,3/23/2014
10698,Enrollment Shopping Cart,5:33 AM,1/10/2017
6418,Enrollment Shopping Cart,7:57 AM,12/13/2015
3833,Enrollment Shopping Cart,7:24 AM,1/24/2014
4823,Enrollment Shopping Cart,9:34 PM,10/21/2013
14303,My Academic Requirements,12:06 PM,9/11/2016
6876,Enrollment Shopping Cart,11:13 AM,10/5/2016
6922,Enrollment Shopping Cart,8:18 PM,6/13/2017
9994,View Graduation Status,8:03 AM,2/20/2012
4072,My Academic Requirements,10:37 PM,3/12/2015
4683,My Planner,12:43 PM,1/8/2015
132,Enrollment Shopping Cart,5:45 AM,9/13/2015
219,Enrollment Shopping Cart,9:24 AM,5/27/2013
12118,Enrollment Shopping Cart,8:50 PM,7/15/2015
7078,Enrollment Shopping Cart,3:37 AM,2/22/2013
11964,View Graduation Status,10:27 PM,2/6/2017
4240,My Planner,1:26 AM,2/4/2014
7098, View Degree Progress Report,8:00 AM,7/23/2015
9536,View Graduation Status,7:26 PM,4/7/2017
8857,Enrollment Shopping Cart,3:29 PM,3/31/2015
11479,My Planner,11:06 PM,7/16/2012
8700,Enrollment Shopping Cart,5:19 PM,9/7/2016
11486,My Planner,12:20 AM,11/29/2012
13658,My Planner,12:34 AM,2/27/2016
3187,View Graduation Status,11:00 AM,3/12/2013
3241,Enrollment Shopping Cart,6:15 PM,3/27/2016
14312,Enrollment Shopping Cart,7:45 AM,9/23/2011
262,Enrollment Shopping Cart,8:53 PM,9/4/2015
3494,My Planner,4:42 PM,5/22/2017
4525,Enrollment Shopping Cart,7:23 PM,8/24/2014
13129,Enrollment Shopping Cart,12:24 PM,4/17/2014
10053,View Graduation Status,5:38 AM,1/18/2013
6118,My Academic Requirements,12:26 PM,3/3/2014
6387,My Planner,8:01 PM,3/6/2013
1091,Enrollment Shopping Cart,11:24 AM,7/20/2016
4348,My Planner,9:06 AM,9/11/2014
11717,Enrollment Shopping Cart,3:37 PM,5/3/2014
6136,Enrollment Shopping Cart,4:43 PM,10/30/2015
11217, View Degree Progress Report,7:14 PM,5/31/2015
10586,Enrollment Shopping Cart,7:17 AM,10/3/2011
7655,Enrollment Shopping Cart,3:41 AM,4/8/2013
13550,My Planner,2:39 PM,12/20/2013
11587, View Degree Progress Report,12:33 PM,1/12/2017
5601,Enrollment Shopping Cart,5:48 PM,4/1/2014
8363,Enrollment Shopping Cart,2:47 AM,10/5/2016
5586,My Planner,12:21 AM,12/27/2013
14439, View Degree Progress Report,12:11 AM,8/13/2013
13619, View Degree Progress Report,3:37 PM,11/26/2011
8727,My Academic Requirements,10:53 PM,11/18/2014
8272,View Graduation Status,2:35 AM,6/1/2016
8264,My Academic Requirements,10:01 PM,10/20/2011
11473,Enrollment Shopping Cart,6:37 PM,1/7/2015
9581,Enrollment Shopping Cart,1:29 PM,10/31/2014
12794,My Planner,11:03 AM,2/19/2013
9609,Enrollment Shopping Cart,8:56 PM,6/5/2016
10646,My Planner,11:58 AM,3/18/2013
8258,My Planner,9:04 AM,1/15/2015
12946,Enrollment Shopping Cart,12:02 AM,9/6/2013
5214,Enrollment Shopping Cart,12:01 AM,5/12/2017
6946,Enrollment Shopping Cart,1:01 AM,9/7/2015
9362,Enrollment Shopping Cart,9:57 AM,12/11/2012
6540,Enrollment Shopping Cart,4:36 AM,3/20/2017
6215,My Planner,7:30 PM,3/9/2017
2383,View Graduation Status,5:50 PM,10/2/2012
7825,View Graduation Status,7:07 AM,3/26/2017
2775,Enrollment Shopping Cart,2:19 PM,6/10/2016
4076,Enrollment Shopping Cart,4:23 PM,6/25/2012
11170,My Planner,5:41 PM,5/9/2015
10204,My Planner,1:50 AM,11/24/2011
12914,Enrollment Shopping Cart,12:39 AM,5/8/2013
1848,View Graduation Status,6:44 PM,7/17/2015
10741,Enrollment Shopping Cart,5:30 AM,1/7/2017
509,Enrollment Shopping Cart,1:13 PM,5/8/2013
7220,Enrollment Shopping Cart,9:46 PM,3/11/2013
12197,My Planner,11:34 PM,4/22/2012
7186,Enrollment Shopping Cart,7:04 AM,11/10/2014
3543,Enrollment Shopping Cart,11:29 AM,10/9/2015
13629, View Degree Progress Report,1:38 AM,8/5/2013
7893,My Planner,3:53 AM,12/28/2016
8320,Enrollment Shopping Cart,5:48 PM,1/2/2014
13430,My Planner,5:20 PM,12/29/2013
13113,My Planner,12:17 AM,4/11/2014
13757, View Degree Progress Report,4:06 PM,2/12/2017
4516,Enrollment Shopping Cart,1:39 PM,12/20/2011
6380,Enrollment Shopping Cart,12:58 AM,6/23/2014
6348,View Graduation Status,5:07 AM,10/3/2016
8911,Enrollment Shopping Cart,10:01 AM,1/30/2013
12123,My Planner,7:37 PM,6/6/2013
12407,Enrollment Shopping Cart,6:39 PM,6/4/2014
9447,View Graduation Status,11:24 PM,3/15/2012
11005,Enrollment Shopping Cart,2:34 PM,11/20/2013
3845,My Academic Requirements,9:21 PM,5/4/2014
13050,My Academic Requirements,8:05 AM,4/24/2012
9322,My Planner,2:16 PM,5/8/2016
2794,My Planner,7:35 PM,6/12/2016
9659,My Planner,5:28 AM,2/20/2012
9479,View Graduation Status,2:36 PM,8/1/2016
8903,Enrollment Shopping Cart,2:05 AM,3/17/2012
11110,Enrollment Shopping Cart,7:59 AM,2/21/2014
3453,View Graduation Status,8:39 PM,6/24/2016
4755,View Graduation Status,10:05 PM,10/8/2011
3836,Enrollment Shopping Cart,10:18 PM,2/23/2015
10771,Enrollment Shopping Cart,11:25 PM,4/2/2017
6221,Enrollment Shopping Cart,3:59 PM,6/30/2014
6098,View Graduation Status,3:43 AM,7/22/2017
7578,Enrollment Shopping Cart,2:43 AM,5/1/2016
11031,Enrollment Shopping Cart,1:23 AM,10/4/2016
13887,Enrollment Shopping Cart,2:34 AM,12/15/2013
9483,Enrollment Shopping Cart,6:05 PM,4/15/2014
5408,Enrollment Shopping Cart,3:04 PM,6/17/2016
2731,Enrollment Shopping Cart,2:01 PM,6/28/2016
2758,My Planner,7:01 AM,10/8/2013
14541,View Graduation Status,2:01 PM,9/25/2014
13854,My Planner,9:17 PM,7/5/2016
9849,View Graduation Status,8:35 AM,12/14/2013
14112,My Planner,12:27 AM,2/23/2017
9903, View Degree Progress Report,2:04 PM,8/15/2015
13145,Enrollment Shopping Cart,3:07 PM,8/10/2017
13603,Enrollment Shopping Cart,3:35 PM,12/20/2013
3020,Enrollment Shopping Cart,1:08 PM,4/30/2014
4715,Enrollment Shopping Cart,10:06 AM,10/21/2013
9793,My Planner,6:29 AM,3/4/2013
1740,Enrollment Shopping Cart,8:22 PM,2/5/2015
11947,Enrollment Shopping Cart,3:17 AM,9/16/2012
6009,Enrollment Shopping Cart,10:17 PM,1/12/2016
8243,Enrollment Shopping Cart,7:42 AM,3/28/2012
2981,View Graduation Status,4:50 AM,3/1/2014
7363,My Academic Requirements,12:01 PM,11/17/2015
14851,My Planner,1:21 AM,1/12/2017
7321,View Graduation Status,1:49 AM,4/14/2013
9268,Enrollment Shopping Cart,1:07 AM,6/21/2012
5744,Enrollment Shopping Cart,11:07 PM,12/24/2012
9794, View Degree Progress Report,9:48 AM,4/10/2012
1115,View Graduation Status,3:59 AM,10/17/2016
4994,View Graduation Status,1:34 PM,5/10/2017
3504,Enrollment Shopping Cart,5:14 AM,8/29/2012
3434,My Planner,8:51 PM,3/22/2015
10213,Enrollment Shopping Cart,12:02 PM,11/17/2016
3579,View Graduation Status,3:21 AM,4/24/2012
4636,My Academic Requirements,1:17 AM,4/7/2015
4722,Enrollment Shopping Cart,6:58 AM,3/14/2012
8428, View Degree Progress Report,10:43 PM,4/18/2016
10113,Enrollment Shopping Cart,10:01 PM,7/18/2015
3143,My Academic Requirements,10:51 AM,3/5/2013
14872,Enrollment Shopping Cart,11:36 PM,11/27/2016
2492,Enrollment Shopping Cart,10:24 PM,4/11/2013
12295,Enrollment Shopping Cart,2:20 PM,4/21/2017
12849,My Planner,4:31 AM,1/9/2012
2585,Enrollment Shopping Cart,8:07 AM,1/3/2013
6701,Enrollment Shopping Cart,3:52 PM,1/7/2015
11800,Enrollment Shopping Cart,11:27 AM,5/18/2017
11752,My Planner,6:02 AM,11/10/2015
2843,Enrollment Shopping Cart,6:57 AM,7/25/2017
4251,My Planner,3:52 AM,4/20/2012
2994,My Planner,10:44 AM,1/10/2014
9761,View Graduation Status,10:09 PM,6/20/2012
7460,Enrollment Shopping Cart,4:44 PM,7/12/2016
2905,Enrollment Shopping Cart,7:54 AM,1/28/2017
10630,My Planner,12:22 AM,7/7/2012
13975,Enrollment Shopping Cart,6:35 PM,8/12/2016
13937,My Planner,4:07 PM,11/14/2014
9950,Enrollment Shopping Cart,5:52 PM,8/13/2016
11427,View Graduation Status,6:00 PM,7/6/2014
890,Enrollment Shopping Cart,4:42 AM,1/17/2012
13328,Enrollment Shopping Cart,7:09 PM,11/13/2013
4386,Enrollment Shopping Cart,12:32 AM,1/29/2014
9735,My Planner,6:16 PM,7/31/2014
486,Enrollment Shopping Cart,9:32 PM,5/13/2015
14413,Enrollment Shopping Cart,8:14 AM,7/27/2013
3205,Enrollment Shopping Cart,2:27 AM,10/2/2016
1757,My Planner,8:02 AM,9/8/2012
5427, View Degree Progress Report,11:25 AM,6/11/2014
12828,Enrollment Shopping Cart,3:00 AM,6/14/2013
13607,Enrollment Shopping Cart,12:09 PM,9/6/2011
1063,Enrollment Shopping Cart,1:46 AM,10/8/2016
1862,My Planner,7:14 AM,11/5/2011
6889,Enrollment Shopping Cart,5:03 AM,6/23/2012
11465,Enrollment Shopping Cart,3:02 PM,9/18/2014
11161,Enrollment Shopping Cart,11:07 AM,2/3/2015
1863,My Planner,5:14 PM,7/3/2013
7594,Enrollment Shopping Cart,10:08 PM,6/26/2017
10717,Enrollment Shopping Cart,8:22 PM,11/17/2015
12145,View Graduation Status,7:52 PM,1/6/2012
14687,My Planner,1:27 AM,7/15/2014
5978,View Graduation Status,8:04 PM,7/11/2015
6252,Enrollment Shopping Cart,8:56 PM,2/24/2012
676,Enrollment Shopping Cart,12:51 PM,7/15/2014
7121,Enrollment Shopping Cart,12:31 AM,1/14/2014
6781,My Academic Requirements,3:18 PM,11/29/2014
2726, View Degree Progress Report,4:50 AM,3/8/2015
9920,Enrollment Shopping Cart,5:32 AM,1/3/2017
5328,View Graduation Status,1:49 AM,6/24/2013
1910,Enrollment Shopping Cart,2:32 PM,10/21/2011
3991, View Degree Progress Report,3:05 AM,4/13/2014
14756,Enrollment Shopping Cart,7:08 AM,3/6/2017
8732,Enrollment Shopping Cart,1:35 PM,8/20/2011
6882,My Planner,3:48 PM,8/25/2013
2718,My Planner,2:12 AM,12/8/2011
2369,View Graduation Status,8:26 PM,7/13/2016
10227,Enrollment Shopping Cart,8:18 PM,8/6/2014
2684,My Academic Requirements,8:37 AM,7/6/2016
5740,Enrollment Shopping Cart,8:59 AM,1/25/2014
6690,Enrollment Shopping Cart,8:15 AM,3/13/2016
125,Enrollment Shopping Cart,4:18 PM,2/10/2013
5919,My Planner,5:42 AM,1/9/2013
501,Enrollment Shopping Cart,5:28 PM,9/17/2011
12981,Enrollment Shopping Cart,5:12 AM,6/30/2015
7064,Enrollment Shopping Cart,2:58 AM,3/25/2012
3090,View Graduation Status,4:58 AM,7/22/2017
737,Enrollment Shopping Cart,6:47 PM,8/9/2015
14419,Enrollment Shopping Cart,11:19 PM,11/15/2015
194,Enrollment Shopping Cart,8:39 PM,7/13/2017
14568,Enrollment Shopping Cart,12:49 PM,2/16/2013
11910,Enrollment Shopping Cart,12:01 AM,10/27/2016
4256,Enrollment Shopping Cart,5:11 PM,5/28/2013
5387,Enrollment Shopping Cart,9:26 PM,3/27/2015
9661, View Degree Progress Report,3:13 PM,9/29/2012
5360,View Graduation Status,2:39 PM,8/23/2015
1645,Enrollment Shopping Cart,12:45 PM,8/13/2013
744,View Graduation Status,2:47 PM,9/21/2013
5857,My Planner,2:58 PM,5/1/2013
5732,My Academic Requirements,11:32 AM,7/15/2016
2244,Enrollment Shopping Cart,11:20 PM,7/17/2013
2675,My Planner,10:06 AM,3/17/2014
6947,My Planner,8:35 PM,3/9/2013
14806,My Planner,2:04 PM,1/28/2014
8351, View Degree Progress Report,4:24 PM,11/23/2011
5321,Enrollment Shopping Cart,9:34 PM,11/16/2016
14423,Enrollment Shopping Cart,1:19 PM,1/20/2017
5365,My Planner,11:07 PM,3/12/2015
9059,Enrollment Shopping Cart,11:53 AM,1/6/2013
9468,My Planner,4:45 PM,9/28/2014
12240,Enrollment Shopping Cart,11:27 AM,12/20/2015
13845,Enrollment Shopping Cart,6:34 AM,5/7/2013
9477,Enrollment Shopping Cart,12:39 PM,7/9/2012
12509,View Graduation Status,6:04 PM,1/1/2013
5267,My Academic Requirements,11:28 AM,5/17/2013
2831,My Academic Requirements,4:55 AM,2/7/2014
2657,Enrollment Shopping Cart,7:49 PM,7/15/2012
6463,My Academic Requirements,12:21 AM,6/15/2013
13963,Enrollment Shopping Cart,4:23 PM,11/10/2014
3639, View Degree Progress Report,7:06 PM,2/3/2015
592,Enrollment Shopping Cart,9:44 AM,1/24/2013
3480,My Planner,3:26 PM,8/27/2011
7242,Enrollment Shopping Cart,8:48 AM,10/28/2013
5179, View Degree Progress Report,4:22 AM,11/18/2012
12888,My Planner,4:32 PM,8/13/2013
1996,Enrollment Shopping Cart,3:23 PM,12/13/2015
8529,My Planner,7:34 PM,4/11/2013
11078,Enrollment Shopping Cart,11:15 AM,1/24/2016
3787,My Planner,5:43 PM,1/11/2013
11431,Enrollment Shopping Cart,9:56 PM,10/13/2011
12803,Enrollment Shopping Cart,8:16 PM,12/27/2014
2509,Enrollment Shopping Cart,6:53 PM,5/19/2012
7702,My Planner,6:16 AM,6/4/2017
1419,Enrollment Shopping Cart,11:41 PM,4/27/2016
812,Enrollment Shopping Cart,9:00 PM,1/28/2015
11369,Enrollment Shopping Cart,7:27 PM,3/4/2012
7738,My Planner,5:58 PM,12/28/2015
12145,Enrollment Shopping Cart,6:07 AM,6/3/2014
6748,Enrollment Shopping Cart,9:49 PM,8/27/2011
8349,Enrollment Shopping Cart,2:31 PM,9/20/2014
3951,View Graduation Status,6:32 PM,7/5/2017
7242,Enrollment Shopping Cart,6:06 PM,10/7/2012
1272,Enrollment Shopping Cart,7:32 PM,4/27/2016
12104,Enrollment Shopping Cart,3:58 AM,4/3/2012
8777,My Planner,3:28 PM,1/23/2017
10826,My Planner,2:00 AM,12/22/2014
6092,Enrollment Shopping Cart,11:23 PM,3/9/2016
8822,My Planner,2:48 PM,1/26/2016
12008,Enrollment Shopping Cart,2:04 AM,9/27/2011
12841,Enrollment Shopping Cart,8:32 PM,6/11/2015
11388,View Graduation Status,11:41 PM,10/25/2015
3938,Enrollment Shopping Cart,8:22 PM,3/1/2015
11592,My Planner,8:14 PM,4/16/2015
10036,Enrollment Shopping Cart,9:49 AM,3/23/2014
6984,Enrollment Shopping Cart,11:53 AM,8/5/2012
14084,My Academic Requirements,1:13 AM,2/26/2012
2772,Enrollment Shopping Cart,7:38 AM,10/16/2015
7062,Enrollment Shopping Cart,12:07 AM,11/17/2012
9243,Enrollment Shopping Cart,2:07 PM,8/31/2012
11191, View Degree Progress Report,2:49 PM,2/11/2012
13068,Enrollment Shopping Cart,6:04 AM,11/4/2016
10707,My Planner,4:11 AM,1/25/2016
12970,Enrollment Shopping Cart,2:53 AM,4/24/2016
10114,My Planner,11:44 AM,2/24/2015
6499,My Planner,2:27 AM,11/7/2012
10445,My Planner,8:12 PM,2/3/2016
9742,Enrollment Shopping Cart,2:17 PM,3/12/2015
5892,Enrollment Shopping Cart,4:57 PM,9/7/2011
1500,Enrollment Shopping Cart,11:26 PM,12/17/2015
9702,Enrollment Shopping Cart,2:03 PM,10/12/2015
12932,My Planner,2:18 AM,3/15/2013
10111,Enrollment Shopping Cart,11:09 PM,2/16/2013
384,Enrollment Shopping Cart,10:44 AM,4/20/2012
6361,Enrollment Shopping Cart,12:50 PM,1/26/2014
13011,My Academic Requirements,10:31 PM,1/4/2014
5741, View Degree Progress Report,5:29 PM,3/22/2012
3004,My Planner,3:32 PM,11/9/2015
11886,My Planner,1:27 AM,3/6/2017
9749,Enrollment Shopping Cart,10:00 AM,9/6/2011
11842,Enrollment Shopping Cart,3:19 PM,7/4/2013
7085,View Graduation Status,1:37 PM,6/21/2013
5538,Enrollment Shopping Cart,5:54 PM,9/6/2015
18,My Academic Requirements,10:06 AM,7/16/2016
8033,My Planner,11:51 AM,11/8/2012
2384,My Planner,10:10 AM,9/12/2016
8009,My Planner,1:51 PM,1/24/2017
2530,Enrollment Shopping Cart,4:54 PM,4/18/2012
6077,Enrollment Shopping Cart,5:05 AM,10/5/2016
10517,View Graduation Status,12:47 AM,5/22/2014
12416,Enrollment Shopping Cart,7:51 PM,8/3/2016
4770,Enrollment Shopping Cart,2:34 AM,11/19/2015
3640,Enrollment Shopping Cart,10:29 PM,6/30/2013
12128,View Graduation Status,5:03 PM,10/31/2014
11723,My Planner,3:29 AM,6/16/2015
7076,View Graduation Status,9:55 PM,5/13/2017
12447,Enrollment Shopping Cart,11:09 PM,3/1/2014
1549,Enrollment Shopping Cart,8:52 PM,11/22/2015
5965, View Degree Progress Report,4:50 AM,4/23/2015
13931,Enrollment Shopping Cart,1:16 AM,2/1/2017
7751,My Academic Requirements,10:07 PM,4/18/2012
6455,View Graduation Status,4:58 AM,11/1/2012
6419,Enrollment Shopping Cart,9:05 PM,1/8/2012
1628,My Planner,12:38 AM,8/9/2017
9698,Enrollment Shopping Cart,3:24 PM,12/27/2013
3982,Enrollment Shopping Cart,10:40 AM,12/16/2013
6831,Enrollment Shopping Cart,3:52 AM,2/15/2015
3779, View Degree Progress Report,9:10 PM,11/25/2016
10831,Enrollment Shopping Cart,7:31 PM,6/17/2014
6936,My Planner,10:24 AM,3/20/2012
5943,Enrollment Shopping Cart,1:43 AM,7/24/2017
11700,View Graduation Status,9:38 PM,8/19/2013
496,View Graduation Status,3:08 AM,9/26/2011
13064, View Degree Progress Report,8:00 AM,12/22/2014
13482,View Graduation Status,7:41 AM,5/23/2013
6357,My Planner,2:23 AM,11/2/2015
4686,View Graduation Status,2:45 PM,7/14/2012
8009,Enrollment Shopping Cart,1:33 PM,1/3/2017
1068,Enrollment Shopping Cart,11:13 AM,10/19/2014
13592, View Degree Progress Report,12:22 PM,5/22/2015
4547, View Degree Progress Report,8:12 PM,2/9/2014
1885,Enrollment Shopping Cart,2:19 PM,8/19/2017
14222,Enrollment Shopping Cart,12:26 AM,3/7/2014
13659,Enrollment Shopping Cart,7:06 AM,9/24/2011
11916,Enrollment Shopping Cart,11:19 AM,3/24/2016
12266,Enrollment Shopping Cart,10:29 AM,1/1/2015
381,View Graduation Status,6:55 PM,12/26/2015
12624,Enrollment Shopping Cart,1:40 PM,1/30/2013
11135,Enrollment Shopping Cart,10:49 AM,3/22/2012
9083,Enrollment Shopping Cart,9:07 PM,6/29/2013
14482,My Planner,9:10 PM,11/12/2014
